"PAYMENTS FOR LEGISLATIVE, GOVERNMENTAL, OR CHARITABLE ACTIVITIES",,,,,,,,,,,,
ASSEMBLY 2013,,,,,,Last Updated: 03/27/2014,,,,,,
,,,,,,,,,,,,
OFFICIAL,"DATE OF PAYMENT",PAYOR,CITY,STATE,AMOUNT,PAYEE,CITY,STATE,DESCRIPTION,"LGC PURPOSE","NOTICE RECEIVED","YTD AMOUNT BY MEMBER"
,09/20/13,Member's Voice State Building and Construction Trades Council,Sacramento,CA,"15,000",California Legislative Black Caucus Policy Institute,Los Angeles,CA,Contribution to CLBC-PI Leadership Symposium,Charitable,11/14/13,
,,,,,,,,,,,,"318,500"
"Muratsuchi, Al",02/19/13,"AeroVironment, Inc.",Monrovia,CA,"10,000",American Institute of Aeronautics & Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Charitable,03/19/13,
,02/26/13,"Global Energy & Technology, Inc.",Ventura,CA,"5,000",American Institute of Aeronautics and Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Charitable,03/19/13,
,03/05/13,Alcoa Fastening  Systems,Fullerton,CA,"5,000",American Institute of Aeronautics and Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Charitable,03/19/13,
,03/14/13,California Business Roundtable,Sacramento,CA,"5,000",American Institute of Aeronautics and Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Charitable,04/09/13,
,03/18/13,Jeff Gorrell for Assembly 2012,Rancho Santa Margarita,CA,"5,000",American Institute of Aeronautics and Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Charitable,04/09/13,
,04/19/13,United Services Automobile Association (USAA),San Antonio,TX,"2,500",California Veterans Benefit Fund,Forestville,CA,Donation to the 6th Annual Assembly Veterans Luncheon,Charitable,12/10/13,
,07/01/13,United Services Automobile Association (USAA),San Antonio,TX,"2,400",California Veterans Benefit Fund,Forestville,CA,Donation to the 6th Annual Assembly Veterans Luncheon,Charitable,12/10/13,
,09/12/13,Barona Band Of Mission Indians,Lakeside,CA,"5,000",Peary Middle School,Gardena,CA,2013 Barona Education Grant,Charitable,02/14/14,
,10/29/13,State Building & Construction Trades Council of California,Sacramento,CA,"5,000",California Veterans Benefit Fund,Sacramento,CA,Donation to the 25th Anniversary of the Dedication of the California Vietnam Veterans Memorial,Charitable,12/02/13,
,11/01/13,United Services Automobile Association (USAA),San Antonio,TX,"10,000",California Veterans Benefit Fund,Sacramento,CA,Donation to the 25th Anniversary of the Dedication of the California Vietnam Veterans Memorial,Charitable,12/02/13,
,11/12/13,Calfornia Correctional Peace Officers Association (CCPOA),West Sacramento,CA,"5,000",California Veterans Benefit Fund,Sacramento,CA,Donation to the 25th Anniversary of the Dedication of the California Vietnam Veterans Memorial,Charitable,12/02/13,
,,,,,,,,,,,,"59,900"
"Pan, Richard",,VSP Global,Rancho Cordova,CA,"217,140","General Public/Attendees of Community Health and Wellness Fair on August 10, 2013",Sacramento,CA,"VSP's Mobile Eyes Program vision clinic provided free eye exams and glasses on-site, or vouchers to be redeemed with local providers for service for general public",Charitable,09/24/13,
,,,,,,,,,,,,"217,140"
"Perea, Henry T.",01/28/13,The California Endowment,Los Angeles,CA,"10,000",Youth Leadership  Institute,San Francisco,CA,Funds for the Young Legislator Program,Charitable,03/15/13,
,02/12/13,AT&T,Fresno,CA,"10,000",Youth Leadership  Institute,Fresno,CA,Funds for the Young Legislator Program,Charitable,02/20/13,
,02/12/13,The California Endowment,Los Angeles,CA,"10,000",Youth Leadership  Institute,San Francisco,CA,Funding for the Young Legislators Program,Charitable,03/20/14,
,03/15/13,The Griffith Insurance Education Foundation,Worthington,OH,"10,515",Sonoma Renaissance Resort and Spa,Sonoma,CA,Insurance 101 Learning seminar for legislators and staff,Legislative,04/11/13,
,04/24/13,PG&E Corporation Foundation,San Francisco,CA,"5,000",Youth Leadership  Institute,San Francisco,CA,Donation to the Young Legislator Program,Charitable,05/03/12,
,06/10/13,"Wells Fargo Bank, N.A.",Red Wing,CA,"10,000",Selma Community Enhancement Corp,Selma,CA,Sponsorship for the Central Valley Jazz Fes benefiting the Selma Arts Center,Charitable,07/12/13,
,06/27/13,WFB Ohio-Foundation (MN),VanWert,OH,"5,000",Youth Leadership  Institute,Fresno,CA,Young Legislation Program,Charitable,07/12/13,
,11/07/13,United Way of Fresno County,Fresno,CA,"1,000",Community Food Bank,Fresno,CA,Donation to purchase turkeys for Operation Gobble 2013,Charitable,01/03/14,
,,,,,,,,,,,,"61,515"
"Perez, John",02/28/13,"Kendall Brill & Klieger, LLP",Los Angeles,CA,"94,580","Partners and employees of Kendall Brill & Klieger, LLP",Los Angeles,CA,Protecting legislative power as it relates to Prop 8 and marriage equality,Legislative,03/19/13,
,03/28/13,Altria Client Services,Sacramento,CA,"10,000",Assembly International Relations Foundation,Sacramento,CA,To assist in the Assembly's international relations efforts.,Governmental,04/23/13,
,07/01/13,Darden Restaurants,Orlando,FL,"15,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,09/12/13,
,07/02/13,Johnson & Johnson,Woodbury,MN,"10,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,09/12/13,
,07/11/13,State Farm Insurance Company,Bloomington,IL,"15,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,09/12/13,
,07/15/13,JM Family Enterprises,Deerfield Beach,FL,"15,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,09/12/13,
,07/22/13,"JGWPT, LLC",Washington,DC,"10,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,09/12/13,
,07/23/13,"TracFone Wireless, Inc.",Medley,FL,"10,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,09/12/13,
,07/26/13,National Restaurant Association,Washington,DC,"10,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,09/12/13,
,07/29/13,"Apollo Group, Inc.",Phoenix,AZ,"15,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,09/12/13,
,08/01/13,Procter & Gamble,Sacramento,CA,"10,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,09/12/13,
,08/05/13,Diageo,Sacramento,CA,"15,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,09/12/13,
,08/05/13,CTIA,Washington,DC,"15,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,09/12/13,
,08/08/13,Hewlett Packard Company,Palo Alto,CA,"15,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,09/12/13,
,08/08/13,"Novo Nordisk, Inc.",Washington,DC,"15,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,09/12/13,
,08/12/13,Intuit,Dudley,MA,"15,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,09/12/13,
,08/12/13,Anheuser-Busch Companies,Washington,DC,"15,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,09/12/13,
,08/19/13,General Motors Corporation,Sacramento,CA,"10,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,09/12/13,
,08/19/13,Alliance of Automobile Manufacturers,Washington,DC,"15,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,09/12/13,
,08/19/13,Purdue Pharma,Tallahassee,FL,"10,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,09/12/13,
,08/20/13,GTECH,Sacramento,CA,"25,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,09/12/13,
,08/20/13,Santa Ynez Band of Mission Indians,Santa Ynez,CA,"10,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,09/12/13,
,08/21/13,CVS Caremark Corporation,Northbrook,IL,"15,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,09/12/13,
,08/30/13,PricewaterhouseCoopers  LLP,Tampa,FL,"15,000",Proyecto Pastoral at Dolores Mission,Los Angeles,CA,Donation to charitable organization,Charitable,09/12/13,
,07/31/13,GTECH,West Greenwich,RI,"25,000",Proyecto Pastoral,Los Angeles,CA,Donation to charitable organization,Charitable,08/20/13,
,07/31/13,Barona Band of Mission Indians,Lakeside,CA,"5,000",Young Oak Kim Academy,Los Angeles,CA,Education Grant to Young Oak Kim Academy,Charitable,08/20/13,
,08/30/13,National Beer Wholesalers Association,Alexandria,VA,"10,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization:  the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,09/19/13,
,08/30/13,"Lundbeck Pharmaceuticals Services, LLC",Deerfield   ,IL,"10,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,09/19/13,
,09/04/13,California Teacher's Association,Burlingame,CA,"25,000",Proyecto Pastoral at Dolores Mission,Los Angeles,CA,Donation to charitable organization,Charitable,09/19/13,
,09/09/13,LKQ Corporation,Nashville,TN,"15,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,09/19/13,
,09/10/13,"Allergan, Inc.",Irvine,CA,"10,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,10/04/13,
,09/10/13,Centene Corporation,St. Louis,MO,"25,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,10/04/13,
,09/13/13,McDonalds Corporation,Oak Brook,IL,"20,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,11/14/13,
,09/13/13,Retail Industry Leaders Association,Arlington,VA,"10,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,11/14/13,
,09/23/13,Bayer HealthCare,Pittsburgh,PA,"15,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,10/04/13,
,09/23/13,Target Corporation,Minneapolis,MN,"10,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,10/04/13,
,09/24/13,K to College,Oakland,CA,"53,105",Leo Politi Elementary School,Los Angeles,CA,School Supplies donated to community members,Charitable,10/04/13,
,10/01/13,Office Depot Foundation,Boca Raton,FL,"5,000",L.A. Reid Shield Youth & Community Center,Los Angeles,CA,School bags and supplies donation to community members,Charitable,10/04/13,
,10/03/13,"NJOY, Inc",Scottsdale,AZ,"15,000",State Legislative Leaders Foundation,Centerville,MA,Donation to charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,11/14/13,
,10/03/13,Security Finance Corporation,Spartanburg,SC,"15,000",State Legislative Leaders Foundation,Centerville,MA,Donation to charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,11/14/13,
,10/04/13,Phillips 66 Century,Houston,TX,"25,000",Proyecto Pastoral at Dolores Mission,Los Angeles,CA,Donation to a charitable organization,Charitable,11/14/13,
,10/07/13,McKesson Corporation,Carrolton,TX,"10,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,11/14/13,
,10/07/13,State Farm Mutual Automobile Insurance Company,Bloomington,IL,"7,500",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,11/14/13,
,10/14/13,PhRMA,Washington,DC,"2,500",Proyecto Pastoral at Dolores Mission,Los Angeles,CA,Donation to a charitable organization,Charitable,11/14/13,
,10/15/12,"Select Management Resources, LLC",Alpharetta,GA,"15,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,11/14/13,
,10/15/13,Nike,Beaverton,OR,"15,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,11/14/13,
,10/16/13,Pechanga Band of Luiseno Indians,Temecula,CA,"10,000",Proyecto Pastoral at Dolores Mission,Los Angeles,CA,Donation to a charitable organization,Charitable,11/14/13,
,10/16/13,Farmers Insurance,Los Angeles,CA,"25,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLP's 22nd Annual Meeting of the National Speakers Conference,Charitable,11/14/13,
,10/21/13,International Council of Shopping Centers,New York,NY,"10,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,11/14/13,
,10/21/13,"Anschutz Entertainment Group, Inc.",Los Angeles,CA,"10,000",Proyecto Pastoral at Dolores Mission,Los Angeles,CA,Donation to a charitable organization,Charitable,12/2/13,
,10/24/13,Novartis,East Hanover,NJ,"15,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLP's 22nd Annual Meeting of the National Speakers Conference,Charitable,11/14/13,
,10/28/13,"Dailichi Sankyo, Inc.",Parsippany,NJ,"5,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLP's 22nd Annual Meeting of the National Speakers Conference,Charitable,11/14/13,
,10/28/13,"DirectTV, LLC",El Segundo,CA,"7,500",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,11/14/13,
,10/28/13,FedEx Corporation,Memphis,TN,"10,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,11/14/13,
,10/28/13,"Altria Group, Inc.",Richmond,VA,"10,000",Proyecto Pastoral at Dolores Mission,Los Angeles,CA,Donation to charitable organization,Charitable,11/14/13,
,10/31/13,PhRMA,Washington,DC,"10,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,11/14/13,
,11/04/13,Shell Oil Company,Houston,TX,"10,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,11/14/13,
,11/04/13,AT&T,Sacramento,CA,"10,000",State Legislative Leaders Foundation,Centerville,MA,"Donation to a charitable organization, the SLLF's 22nd Annual Meeting of the National Speakers Conference",Charitable,12/02/13,
,11/05/13,Anheuser-Busch Foundation,St. Louis,MO,"5,000",Proyecto Pastoral at Dolores Mission,Los Angeles,CA,Donation to a charitable organization,Charitable,12/02/13,
,11/12/13,Advantage Capital Management Corp.,New Orleans,LA,"10,000",State Legislative Leaders Foundation,Centerville,MA,"Donation to a charitable organization, the SLLF's 22nd Annual Meeting of the National Speaker's Conference",Charitable,12/02/13,
,11/15/13,Wine Institute,San Francisco,CA,"12,500",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,12/18/13,
,11/15/13,Dish,Englewood,CO,"7,500",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,12/18/13,
,11/15/13,Orrick,San Francisco,CA,"15,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,12/18/13,
,11/18/13,Coca-Cola North America,Atlanta,GA,"10,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,12/18/13,
,11/20/13,Legal Zoom,Glendale,CA,"15,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,12/18/13,
,11/22/13,Procter & Gamble,Sacramento,CA,"5,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,12/18/13,
,11/25/13,Citigroup,Tampa,FL,"15,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,12/18/13,
,11/25/13,Edison Electronic Institute,Washington,DC,"10,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,12/18/13,
,12/02/13,United States Fireworks Safety Commission LLC,Florence,AL,"10,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,12/18/13,
,12/02/13,"SAS Institute, Inc.",Cary,NC,"10,000",State Legislative Leaders Foundation,Centerville,MA,Donation to a charitable organization: the SLLF's 22nd Annual Meeting of the National Speakers Conference,Charitable,12/18/13,
,12/04/13,Verizon,Folsom,CA,"5,000",Proyecto Pastoral at Dolores Mission,Los Angeles,CA,Donation to charitable organization,Charitable,12/18/13,
,,,,,,,,,,,,"1,010,185"
"Quirk-Silva, Sharon",07/23/13,Barona Band of Mission Indians,Lakeside,CA,"5,000",St. Polycarp Catholic School,Stanton,CA,Grant to assist in the purchase of ten laptops and accompanying software pack to help improve the students' technological skills,Charitable,09/04/13,
,09/26/13,California Latino Legislative Caucus Foundation,Sacramento,CA,"5,000",California State Fullerton Philanthropic Foundation,Fullerton,CA,Monetary Donation to California State Fullerton for the purpose of Addressing the Achievement Gap. Closing the Latino Achievement Gap (CLAG),Governmental,12/10/13,
,10/01/13,The Walt Disney Company,Burbank,CA,"2,500",California State Fullerton Philanthropic Foundation,Fullerton,CA,Monetary Donation to California State Fullerton for the purpose of Addressing the Achievement Gap. Closing the Latino Achievement Gap (CLAG),Governmental,12/10/13,
,10/03/13,Disneyland Resort,Anaheim,CA,"2,500",California State Fullerton Philanthropic Foundation,Fullerton,CA,Monetary Donation to California State Fullerton for the purpose of Addressing the Achievement Gap. Closing the Latino Achievement Gap (CLAG),Governmental,12/10/13,
,,,,,,,,,,,,"15,000"
"Stone, Mark",06/25/13,Barona Band of Mission Indians,Lakeside,CA,"5,000",Seaside High School,Monterey,CA,Grant to assist in the purchase of 250 non-fiction and fiction books to update the high school's library,Charitable,07/12/13,
,,,,,,,,,,,,"5,000"
"Wilk, Scott",09/11/13,Barona Education Grant Program,Lakeside,CA,"5,000",Superior Street Elementary School,Chatsworth,CA,"$5,000 grant will be used to purchase thirteen iPad's to support fluency in reading, writing, problem solving, researching and skill reinforcement",Charitable,09/24/13,
,,,,,,,,,,,,"5,000"
"Williams, Das",11/21/13,Golden State Water Company,San Dimas,CA,"3,357",Santa Barbara Food Bank,Santa Barbara,CA,The turkeys were donated to the Santa Barbara Food Bank for Thanksgiving,Charitable,3/3/14,
,,,,,,,,,,,,"3,357"
,,,,,"3,754,698",,,,,,,"3,754,698"
,,,,,,  ,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
