"PAYMENTS FOR LEGISLATIVE, GOVERNMENTAL, OR CHARITABLE ACTIVITIES",,,,,,,,,,,,
ASSEMBLY 2013,,,,,,Last Updated: 03/27/2014,,,,,,
,,,,,,,,,,,,
OFFICIAL,"DATE OF PAYMENT",PAYOR,CITY,STATE,AMOUNT,PAYEE,CITY,STATE,DESCRIPTION,"LGC PURPOSE","NOTICE RECEIVED","YTD AMOUNT BY MEMBER"
,03/11/13,Global Energy & Technology,Ventura,CA,"5,000",American Institute of Aeronautics and Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Legislative,4/9/13,
,03/11/13,"Alcoa, Inc",Torrance,CA,"5,000",American Institute of Aeronautics and Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Legislative,4/9/13,
,03/14/13,California Business Roundtable,Sacramento,CA,"5,000",American Institute of Aeronautics and Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Legislative,4/9/13,
,03/18/13,Jeff Gorell for Assembly 2012 #1334198,Rancho Santa Margarita,CA,"5,000",American Institute of Aeronautics and Astronautics,Reston,VA,AIAA Policy Symposium: Civilian Application of UAV's - Conference Sponsor,Legislative,4/9/13,
,,,,,,,,,,,,"75,000"
"Calderon, Ian",05/15/13,Barona Band of Mission Indians,Lakeside,CA,"5,000",Lou Henry Hoover Elementary School,Whittier,CA,"Grant for musical instruments, art supplies, journals, dance CD's and Ipods",Governmental,3/7/14,
,,,,,,,,,,,,"5,000"
"Chau, Edwin",04/23/13,The Barona Band of Mission Indians,Lakeside,CA,"5,000",Education grant to purchase library books for Arroyo High School,El Monte,CA,Education grant to purchase library books for Arroyo High School,Charitable,11/20/13,
,12/23/13,U.S. Department of Health and Human Services,Rockville,MD,"57,778",Herald Christian Health Center (HCHC),San Gabriel,CA,"Grant for non-profit entity to provide for health care needs of low income, uninsured and recently immigrated communities",Charitable,2/26/14,
,,,,,,,,,,,,"62,778"
